Product ID,Product Name,Product Price,Description,Image URL,Manufacturer,Product URL,Supplier URL
17,Wall Hauler 70 Haul Bag,$449.99,,www.blackdiamondequipment.com.au/cdn/shop/files/810008_1016_WALL_HAULER_70_HAUL_BAG_Pewter_01_-600x600-bc87582_400x.jpg?v=1696572072,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/wall-hauler-70-haul-bag,https://www.blackdiamondequipment.com.au/collections/equipment-climb
18,Camalot Z4,$174.99,,www.blackdiamondequipment.com.au/cdn/shop/files/camalotZ4-Spread_cce2fe3d-e901-42db-bdc2-103fd5bdc2de_400x.png?v=1693965384,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/camalot-z4-bd26224,https://www.blackdiamondequipment.com.au/collections/equipment-climb
19,Offset Stopper,$26.99,,www.blackdiamondequipment.com.au/cdn/shop/files/225231_0000_OFFSETSTOPPER11_NOCOLOR_01_400x.png?v=1694137531,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/offset-stopper,https://www.blackdiamondequipment.com.au/collections/equipment-climb
20,Wired Hexentrics,$28.99,,www.blackdiamondequipment.com.au/cdn/shop/files/220229_0000_WIREDHEXENTRIC9_NOCOLOR_01_-600x600-950dd6f_400x.png?v=1694137061,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/wired-hexentrics,https://www.blackdiamondequipment.com.au/collections/equipment-climb
21,Camalot Ultralight,$169.99,,www.blackdiamondequipment.com.au/cdn/shop/files/262164_0000_CAMALOTULTRALIGHT.4_NOCOLOR_02_3d98039b-c60d-47d1-909a-841e2af2968a_400x.png?v=1693964887,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/camalot-ultralight-bd2621710000all1,https://www.blackdiamondequipment.com.au/collections/equipment-climb
22,Stoppers,$24.99,,www.blackdiamondequipment.com.au/cdn/shop/files/use_BD2252110000ALL1a_051b2b72-a074-4c4e-98e4-dab4450f8cb5_400x.jpg?v=1693962443,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/stoppers-bd2252010000all1,https://www.blackdiamondequipment.com.au/collections/equipment-climb
23,Wall Hauler 140 Haul Bag,$489.99,,www.blackdiamondequipment.com.au/cdn/shop/files/810004_1016_WALL_HAULER_140_HAUL_BAG_Pewter_01_-600x600-bc87582_400x.jpg?v=1696571595,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/wall-hauler-140-haul-bag,https://www.blackdiamondequipment.com.au/collections/equipment-climb
24,Momentum Climbing Shoes - Women's- Past Season,$169.99,,www.blackdiamondequipment.com.au/cdn/shop/files/570106_9309_MOMENTUMWCLIMBSHOE_blackalloy_1_0c706765-7f9f-4895-a6a3-5c65198b7ccc_400x.png?v=1691572012,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/momentum-climbing-shoes-womens-past-season,https://www.blackdiamondequipment.com.au/collections/equipment-climb
25,Crag Gloves- Past Season,$39.99,,www.blackdiamondequipment.com.au/cdn/shop/files/801863_0002_CRAGGLOVES_Black_3cbd62d5-8aa7-414c-b36b-0637c32bfdf3_400x.jpg?v=1691567114,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/crag-gloves-past-season,https://www.blackdiamondequipment.com.au/collections/equipment-climb
26,ATC-Guide Belay/Rappel Device- Past Season,$54.99,,www.blackdiamondequipment.com.au/cdn/shop/files/use_BD6200460002ALL1a_c816972f-2294-4964-b843-556bbd60c891_400x.jpg?v=1691563985,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/atc-guide-belay-rappel-device-past-season,https://www.blackdiamondequipment.com.au/collections/equipment-climb
27,Pecker Pitons- Past Season,$37.99,,www.blackdiamondequipment.com.au/cdn/shop/files/use_BD5202180000ALL1a_46c9cbbf-6926-494d-9c75-ba1dd1ff7b12_400x.jpg?v=1691563877,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/pecker-pitons-past-season,https://www.blackdiamondequipment.com.au/collections/equipment-climb
28,Wall Hauler 40 Haul Bag,$349.99,,www.blackdiamondequipment.com.au/cdn/shop/files/810003_1016_WALL_HAULER_40_HAUL_BAG_Pewter_01_-600x600-bc87582_400x.jpg?v=1696570987,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/wall-hauler-40-haul-bag,https://www.blackdiamondequipment.com.au/collections/equipment-climb
29,HotForge Quickdraw- Past Season,$37.99,,www.blackdiamondequipment.com.au/cdn/shop/files/381115_1004_HOTFORGEQUICKDRAW12cm_LightGray_9510a0d4-2941-4b46-b0e6-014f3f158184_400x.jpg?v=1691563781,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/hotforge-quickdraw-past-season,https://www.blackdiamondequipment.com.au/collections/equipment-climb
30,Camalot C4- Past Season,$204.99,,www.blackdiamondequipment.com.au/cdn/shop/files/use_BD2623150000ALL1a_00bf7448-e9fc-4777-bfc5-b5b7d58f900d_400x.jpg?v=1691563630,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/camalot-c4-past-season,https://www.blackdiamondequipment.com.au/collections/equipment-climb
31,Miniwire Carabiner- Past Season,$12.99,,www.blackdiamondequipment.com.au/cdn/shop/files/210235_0002_MINIWIRECARABINER_BLACK_01_-1200x1200-28e5ebb_f0caaef6-9a60-4d5e-9d72-93e1f9d8d58d_400x.png?v=1691562615,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/miniwire-carabiner-past-season,https://www.blackdiamondequipment.com.au/collections/equipment-climb
32,LiteWire Carabiner- Past Season,$14.99,,www.blackdiamondequipment.com.au/cdn/shop/files/210234_4005_LITEWIRECARABINER_BLUE_42c16e34-510b-464d-805e-c0ad2858b908_400x.jpg?v=1691562521,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/litewire-carabiner-past-season,https://www.blackdiamondequipment.com.au/collections/equipment-climb
33,Half Dome Helmet- Past Season,$99.99,,www.blackdiamondequipment.com.au/cdn/shop/files/use_BD620209RAINS_M1a_ac13aadf-1048-4e89-a16d-f23801eff4a8_400x.jpg?v=1691561996,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/half-dome-helmet-past-season,https://www.blackdiamondequipment.com.au/collections/equipment-climb
34,Ultralight Ice Screw- Past Season,$154.99,,www.blackdiamondequipment.com.au/cdn/shop/files/490334_0000_UltralightIceScrew22cm_605eae23-d151-4d83-9ad9-69c52b6fe10a_400x.jpg?v=1691561898,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/ultralight-ice-screw-past-season,https://www.blackdiamondequipment.com.au/collections/equipment-climb
35,Beta Light 45 Backpack,$549.99,,www.blackdiamondequipment.com.au/cdn/shop/files/680024_0040_BETALIGHT_45_BACKPACK_Storm_Gray_01_-600x600-950dd6f_400x.png?v=1714527075,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/beta-light-45-backpack,https://www.blackdiamondequipment.com.au/collections/equipment-climb
36,Beta Light Satellite Bag,$59.99,,www.blackdiamondequipment.com.au/cdn/shop/files/680021_9309_BETALIGHT_PACK_SATTELITE_BAG_Black-Alloy_01_-600x600-950dd6f_400x.png?v=1710987691,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/beta-light-satellite-bag,https://www.blackdiamondequipment.com.au/collections/equipment-climb
37,18mm Nylon Daisy Chain- Past Season,$39.99,,www.blackdiamondequipment.com.au/cdn/shop/files/use_BD390013GRAYALL1a_a06ff055-7eed-449e-abb0-b14ec42f6b0e_400x.jpg?v=1691561610,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/18mm-nylon-daisy-chain-past-season,https://www.blackdiamondequipment.com.au/collections/equipment-climb
38,Dynex Runners- Past Season,$18.99,,www.blackdiamondequipment.com.au/cdn/shop/files/380021_0000_10MMDYNEXRUNNER30CM_NOCOLOR_01_ed2293ec-cfaa-4194-9ae6-42fee8afaf13_400x.png?v=1691561515,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/dynex-runners-past-season,https://www.blackdiamondequipment.com.au/collections/equipment-climb
39,Index Ascender,$149.99,,www.blackdiamondequipment.com.au/cdn/shop/files/620004_0002_INDEX_LEFT_BLACK_01_400x.jpg?v=1690257788,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/index-ascender,https://www.blackdiamondequipment.com.au/collections/equipment-climb
40,Long Haul Harness,$269.99,,www.blackdiamondequipment.com.au/cdn/shop/files/650002_0000_LONG_HAUL_HARNESS_NO_COLOR_01_-1200x1200-bd93c0f_400x.jpg?v=1689064365,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/long-haul-harness,https://www.blackdiamondequipment.com.au/collections/equipment-climb
41,Pursuit 30 Backpack - Women's,$229.99,,www.blackdiamondequipment.com.au/cdn/shop/files/680016_9493_W_PURSUIT_BACKPACK_30_L_Carbon_Foam_Green_01_-600x600-bc87582_400x.jpg?v=1684995030,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/pursuit-30-backpack-womens,https://www.blackdiamondequipment.com.au/collections/equipment-climb
42,Pursuit 30 Backpack,$229.99,,www.blackdiamondequipment.com.au/cdn/shop/files/680015_9494_PURSUIT_BACKPACK_30_L_Octane_Ink_Blue_01_-600x600-bc87582_400x.jpg?v=1684994195,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/pursuit-30-backpack,https://www.blackdiamondequipment.com.au/collections/equipment-climb
43,Pursuit 15 Backpack - Women's,$199.99,,www.blackdiamondequipment.com.au/cdn/shop/files/680014_9493_W_PURSUIT_BACKPACK_15_L_Carbon_Foam_Green_01_-600x600-bc87582_400x.jpg?v=1684993175,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/pursuit-15-backpack-womens,https://www.blackdiamondequipment.com.au/collections/equipment-climb
44,Pursuit 15 Backpack,$199.99,,www.blackdiamondequipment.com.au/cdn/shop/files/680009_9491_PURSUIT_BACKPACK_15_L_Carbon_Moab_Brown_01_-600x600-bc87582_400x.jpg?v=1684992585,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/pursuit-15-backpack,https://www.blackdiamondequipment.com.au/collections/equipment-climb
45,Pursuit 6 Waist Pack,$99.99,,www.blackdiamondequipment.com.au/cdn/shop/files/680008_9494_PURSUIT_WAIST_PACK_6_L_Octane_Ink_Blue_01_-600x600-bc87582_400x.jpg?v=1684986844,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/pursuit-6-waist-pack,https://www.blackdiamondequipment.com.au/collections/equipment-climb
46,Circuit Crash Pad,$309.99,,www.blackdiamondequipment.com.au/cdn/shop/files/550813_8008_CIRCUIT_CRASH_PAD_Rust_Orange_01_-600x600-950dd6f_400x.png?v=1710985184,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/circuit-crash-pad,https://www.blackdiamondequipment.com.au/collections/equipment-climb
47,Speed 40 Backpack,$319.99,,www.blackdiamondequipment.com.au/cdn/shop/products/681237_7006_SPEED_40_PACK_SULFUR_01_-800x800-dda5ad5_400x.jpg?v=1680078814,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/speed-40-backpack-bd681237,https://www.blackdiamondequipment.com.au/collections/equipment-climb
48,Half Dome Helmet - Past Season,$99.99,,www.blackdiamondequipment.com.au/cdn/shop/products/use_BD620209BDORS_M1a_400x.jpg?v=1691562044,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/half-dome-helmet-past-season-1,https://www.blackdiamondequipment.com.au/collections/equipment-climb
49,Speed 30 Backpack,$309.99,,www.blackdiamondequipment.com.au/cdn/shop/products/681238_7006_SPEED_30_PACK_SULFUR_01_-800x800-dda5ad5_400x.jpg?v=1680079156,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/speed-30-backpack-bd681238,https://www.blackdiamondequipment.com.au/collections/equipment-climb
50,Blitz 28 Backpack,$174.99,,www.blackdiamondequipment.com.au/cdn/shop/products/681247_1000_BLITZ_28_PACK_ALLOY_01_-800x800-dda5ad5_400x.jpg?v=1680138405,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/blitz-28-backpack-bd681247,https://www.blackdiamondequipment.com.au/collections/equipment-climb
51,Speedaisy,$109.99,,www.blackdiamondequipment.com.au/cdn/shop/files/620007_8001_SPEEDAISY_OCTANE_01_400x.jpg?v=1696578349,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/speedaisy-bd620007,https://www.blackdiamondequipment.com.au/collections/equipment-climb
